date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:51:58	94258/94258	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2010:17:47%20GMT	https://www.restaurantfrantzen.com/	C:/Users/dell/Desktop/barath/food8/www.restaurantfrantzen.com/index.html	(from )
22:51:59	123/123	---M-Z	200	added ('OK')	text/plain	date:Thu,%2027%20Oct%202022%2017:21:57%20GMT	https://www.restaurantfrantzen.com/robots.txt		(from )
22:51:59	88932/88932	---M-Z	200	added ('OK')	text/css	date:Tue,%2012%20Jul%202022%2019:18:03%20GMT	https://www.restaurantfrantzen.com/wp/wp-includes/css/dist/block-library/style.min.css?ver=6.0.3	C:/Users/dell/Desktop/barath/food8/www.restaurantfrantzen.com/wp/wp-includes/css/dist/block-library/style.min1eb7.css	(from https://www.restaurantfrantzen.com/)
22:52:00	42794/42794	---M-Z	200	added ('OK')	text/css	date:Tue,%2019%20Oct%202021%2010:29:49%20GMT	https://www.restaurantfrantzen.com/wp/wp-content/plugins/taptap-by-bonfire/taptap.css?ver=1	C:/Users/dell/Desktop/barath/food8/www.restaurantfrantzen.com/wp/wp-content/plugins/taptap-by-bonfire/taptap68b3.css	(from https://www.restaurantfrantzen.com/)
22:52:00	1763/1763	---M-Z	200	added ('OK')	application/rss+xml	date:Fri,%2027%20May%202022%2012:25:11%20GMT	https://www.restaurantfrantzen.com/feed/	C:/Users/dell/Desktop/barath/food8/www.restaurantfrantzen.com/feed/index.html	(from https://www.restaurantfrantzen.com/)
22:52:01	31000/31000	---M-Z	200	added ('OK')	text/css	date:Tue,%2019%20Oct%202021%2010:29:49%20GMT	https://www.restaurantfrantzen.com/wp/wp-content/plugins/taptap-by-bonfire/fonts/font-awesome/css/font-awesome.min.css?ver=1	C:/Users/dell/Desktop/barath/food8/www.restaurantfrantzen.com/wp/wp-content/plugins/taptap-by-bonfire/fonts/font-awesome/css/font-awesome.min68b3.css	(from https://www.restaurantfrantzen.com/)
22:52:01	1712/1712	---M-Z	200	added ('OK')	application/rss+xml	date:Fri,%2027%20May%202022%2012:25:11%20GMT	https://www.restaurantfrantzen.com/comments/feed/	C:/Users/dell/Desktop/barath/food8/www.restaurantfrantzen.com/comments/feed/index.html	(from https://www.restaurantfrantzen.com/)
22:52:02	89521/89521	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2006%20Nov%202021%2015:22:48%20GMT	https://www.restaurantfrantzen.com/wp/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	C:/Users/dell/Desktop/barath/food8/www.restaurantfrantzen.com/wp/wp-includes/js/jquery/jquery.minaf6c.js	(from https://www.restaurantfrantzen.com/)
22:52:02	11224/11224	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2028%20Dec%202020%2012:44:32%20GMT	https://www.restaurantfrantzen.com/wp/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/Users/dell/Desktop/barath/food8/www.restaurantfrantzen.com/wp/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://www.restaurantfrantzen.com/)
22:52:02	1142/1142	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2019%20Oct%202021%2010:29:49%20GMT	https://www.restaurantfrantzen.com/wp/wp-content/plugins/taptap-by-bonfire/taptap-accordion.js?ver=1	C:/Users/dell/Desktop/barath/food8/www.restaurantfrantzen.com/wp/wp-content/plugins/taptap-by-bonfire/taptap-accordion68b3.js	(from https://www.restaurantfrantzen.com/)
